RowNumber,Emplyee ID,Hours Training,Geography,Gender,Age,Years of Experience,Number of Machines S/he can work with,Married,Has a Bachelor or Higher Degree,Annual Salary, Reciev Bonus
1872,15734999,634,Canada,Male,36,2,1,1,0,15888,0
1873,15706593,850,Canada,Female,50,10,2,1,1,33742,0
1874,15766686,659,Mexico,Female,39,1,1,1,0,20653,0
1875,15590268,529,Canada,Male,35,5,1,1,1,112782,0
1876,15763055,572,Canada,Male,31,5,1,0,1,119997,0
1877,15664754,640,Mexico,Male,39,9,4,0,1,6981,1
1878,15643630,770,Canada,Male,55,9,2,1,0,185211,1
1879,15641043,648,Canada,Male,35,7,2,1,1,78436,0
1880,15768095,579,USA,Male,31,9,1,0,1,139048,0
1881,15811314,589,Mexico,Female,36,9,2,1,0,136330,0
1882,15669922,530,Canada,Female,36,2,2,1,1,14722,0
1883,15707114,831,USA,Male,30,2,2,0,1,3430,0
1884,15670602,790,Mexico,Male,24,7,1,0,1,160450,0
1885,15713479,656,USA,Male,35,6,2,1,0,1485,0
1886,15663830,563,Canada,Male,32,6,2,1,1,19720,0
1887,15566958,667,Canada,Male,39,7,1,1,1,41183,0
1888,15680918,613,Canada,Male,34,8,1,1,0,139410,0
1889,15663921,429,USA,Male,60,7,2,1,1,163691,0
1890,15716324,665,USA,Female,23,9,1,1,1,115147,0
1891,15796969,731,USA,Male,33,4,2,1,1,74945,0
1892,15574783,584,USA,Female,37,1,2,1,1,180364,0
1893,15773487,634,Mexico,Female,31,8,1,0,0,196022,0
1894,15802486,488,USA,Male,34,3,2,1,1,125979,0
1895,15783398,535,Canada,Female,49,7,1,1,0,111422,0
1896,15649418,776,USA,Female,29,7,2,1,1,115819,0
1897,15604588,850,Canada,Female,38,3,2,0,1,179361,0
1898,15735428,673,Canada,Female,37,0,2,0,0,82351,0
1899,15629078,850,Mexico,Female,45,5,1,1,1,192744,1
1900,15806880,627,Canada,Female,30,6,1,1,1,113408,0
1901,15754999,570,USA,Female,33,8,1,1,1,124641,0
1902,15781034,796,Canada,Male,67,5,2,0,1,54871,0
1903,15622017,773,Canada,Female,33,10,1,1,1,98820,0
1904,15705885,752,Canada,Male,36,2,2,1,1,45571,0
1905,15677382,625,Canada,Female,69,1,1,1,1,182336,0
1906,15566843,535,Mexico,Male,20,9,1,1,1,118826,0
1907,15608387,786,USA,Female,29,4,2,1,0,103373,0
1908,15810786,620,USA,Female,67,3,2,1,1,43487,0
1909,15626983,605,Canada,Female,48,6,2,1,1,40063,0
1910,15773605,670,Canada,Female,32,3,2,1,0,46176,0
1911,15811261,617,Canada,Male,42,0,1,1,1,120831,0
1912,15590606,595,USA,Male,41,9,2,1,0,5967,0
1913,15576644,687,Mexico,Female,29,4,1,1,0,122135,1
1914,15750264,757,Mexico,Male,30,6,2,1,1,62972,0
1915,15741554,746,Canada,Male,31,2,1,1,1,174816,0
1916,15769051,503,Canada,Male,25,7,1,0,1,192841,0
1917,15812198,543,Mexico,Male,48,1,1,0,0,33311,1
1918,15699772,428,Mexico,Female,40,3,2,1,0,72876,1
1919,15744105,768,USA,Female,28,3,2,0,1,50911,0
1920,15739858,618,USA,Male,56,7,1,1,1,142400,1
1921,15723720,591,USA,Female,31,7,2,0,1,48778,0
1922,15638355,658,USA,Female,35,5,1,0,0,156362,1
1923,15805637,625,USA,Male,36,9,3,1,0,133808,1
1924,15629575,717,USA,Male,36,2,1,1,0,179129,1
1925,15586243,667,USA,Male,44,8,1,1,1,91811,0
1926,15757931,804,USA,Male,24,3,2,1,0,173195,0
1927,15716023,693,USA,Male,31,1,2,0,1,182271,0
1928,15647782,729,Mexico,Male,36,8,2,1,0,177130,0
1929,15716609,484,Mexico,Male,54,3,1,0,0,49955,1
1930,15623791,632,Canada,Female,40,3,1,1,0,141897,0
1931,15627262,536,Mexico,Male,23,6,2,1,0,120662,0
1932,15652693,573,USA,Female,26,4,1,0,0,149815,1
1933,15586993,655,Canada,Female,56,5,2,1,1,41783,0
1934,15815560,666,Mexico,Male,74,7,1,1,1,46172,0
1935,15584930,726,Mexico,Male,30,5,2,1,0,2704,0
1936,15799031,523,USA,Male,39,3,2,1,0,6727,0
1937,15810457,728,Mexico,Female,33,9,2,1,0,170764,0
1938,15697879,701,USA,Male,30,3,2,1,0,45742,0
1939,15594902,518,USA,Male,38,3,1,0,1,162305,0
1940,15799710,739,USA,Male,37,7,1,0,1,80884,0
1941,15659651,531,Mexico,Female,31,7,1,1,0,118508,1
1942,15645956,452,Canada,Male,44,3,1,1,0,69698,0
1943,15651713,684,USA,Male,45,6,1,1,0,183575,0
1944,15737265,728,Mexico,Male,39,6,1,0,0,161204,0
1945,15687310,783,Canada,Male,39,9,2,1,0,143753,0
1946,15607347,734,USA,Male,22,5,1,0,0,121894,1
1947,15698321,648,Mexico,Male,34,3,2,1,1,147056,0
1948,15657812,688,USA,Male,52,1,2,1,1,172034,0
1949,15569187,680,Canada,Male,35,9,2,0,0,143774,0
1950,15681562,516,USA,Female,43,2,2,1,1,139367,0
1951,15615456,680,USA,Female,37,10,1,1,0,81777,1
1952,15589793,604,USA,Male,53,8,1,1,0,190999,1
1953,15781884,624,Mexico,Male,27,9,2,0,1,4471,0
1954,15675190,623,USA,Male,21,10,2,0,1,135851,0
1955,15600734,624,Canada,Male,51,5,2,1,1,172373,0
1956,15779176,565,Mexico,Female,58,3,3,0,1,135876,1
1957,15605286,565,USA,Male,55,4,2,1,1,128125,1
1958,15674922,710,USA,Male,54,6,1,1,1,167024,1
1959,15737506,645,USA,Male,42,6,1,0,0,149807,0
1960,15780514,707,USA,Male,33,8,1,1,0,54291,0
1961,15623647,655,Canada,Female,36,1,1,1,0,86014,0
1962,15668472,705,Canada,Female,24,5,2,0,0,79886,0
1963,15692416,358,Canada,Female,52,8,3,1,0,141959,1
1964,15771139,578,Mexico,Male,34,8,2,1,0,66681,0
1965,15738318,800,USA,Female,40,5,1,1,0,98640,1
1966,15772243,612,USA,Female,33,9,1,0,0,142798,1
1967,15638463,681,Mexico,Female,48,8,1,1,1,163582,0
1968,15598088,559,Canada,Male,25,5,2,1,1,163221,0
1969,15693468,488,Canada,Female,39,9,1,0,0,12440,0
1970,15671930,717,USA,Female,36,5,2,1,1,145552,0
1971,15762268,666,USA,Female,41,10,1,1,0,50908,0
1972,15780954,582,Canada,Male,26,4,2,1,0,30149,0
1973,15700174,733,Canada,Female,30,0,1,0,0,57769,0
1974,15635728,693,USA,Male,41,4,2,0,0,156381,0
1975,15679283,694,USA,Female,33,4,2,1,0,178124,0
1976,15591386,622,USA,Female,35,5,2,1,0,51113,0
1977,15694192,598,Canada,Female,38,6,2,0,0,173783,0
1978,15585901,717,Canada,Male,35,1,3,0,0,174770,1
1979,15792329,494,Mexico,Male,37,5,2,1,0,172063,0
1980,15635597,644,USA,Male,33,8,2,1,1,155294,0
1981,15775880,554,USA,Female,30,9,2,1,1,40320,0
1982,15630913,476,Canada,Female,69,1,1,0,1,134260,0
1983,15756680,667,USA,Male,28,6,1,1,0,147091,0
1984,15587913,748,Canada,Female,40,4,2,1,0,132368,0
1985,15737605,531,Canada,Female,45,1,2,1,1,164742,0
1986,15627876,719,Canada,Female,47,9,1,1,0,63051,1
1987,15772601,845,Mexico,Female,41,2,2,0,0,199761,0
1988,15758606,738,USA,Male,54,4,1,0,1,55725,1
1989,15657107,563,Canada,Female,46,8,1,1,0,163146,1
1990,15622454,695,Canada,Male,28,0,1,1,1,57992,0
1991,15775803,841,Canada,Male,41,1,2,0,1,193094,0
1992,15570859,626,Mexico,Male,36,2,2,1,1,57531,0
1993,15748381,613,USA,Female,29,6,2,1,1,77242,0
1994,15787189,824,Mexico,Male,60,8,3,0,0,153046,1
1995,15666055,705,USA,Female,49,7,1,1,0,63405,1
1996,15617648,584,USA,Female,44,5,2,1,1,106565,0
1997,15755678,534,USA,Male,62,2,2,0,0,42763,1
1998,15624781,672,USA,Female,34,1,2,1,1,168753,0
1999,15779497,603,USA,Male,43,5,1,1,1,19483,0
2000,15567399,633,Mexico,Male,43,3,1,1,1,158646,0
2001,15613656,842,USA,Male,58,1,1,1,1,83172,0
2002,15734311,661,USA,Female,27,3,2,1,1,76890,0
2003,15657214,601,USA,Male,74,2,2,0,1,51555,0
2004,15799350,632,USA,Male,41,0,1,0,1,105570,0
2005,15729970,684,Mexico,Male,29,8,1,0,1,79495,0
2006,15725835,785,Mexico,Female,32,3,2,0,1,52584,1
2007,15745543,687,USA,Male,39,7,2,1,0,26848,0
2008,15727384,705,Mexico,Female,43,10,1,0,1,10073,1
2009,15666916,639,USA,Male,43,6,2,1,0,187297,0
2010,15732917,729,Mexico,Male,46,5,1,1,0,104017,1
2011,15612050,556,Canada,Female,48,8,1,1,1,151310,0
2012,15726267,570,USA,Male,32,9,2,0,1,62811,0
2013,15780124,841,USA,Male,74,9,1,0,1,60830,0
2014,15742238,705,Mexico,Male,35,4,2,1,0,116672,0
2015,15679024,553,USA,Male,32,3,1,1,0,77304,0
2016,15715297,779,Mexico,Female,40,2,1,1,1,52894,0
2017,15633612,696,USA,Male,28,4,1,1,1,116471,0
2018,15602929,728,Canada,Female,37,4,1,0,0,4539,0
2019,15696703,691,Mexico,Male,27,3,2,1,0,142368,0
2020,15756668,706,USA,Male,30,3,1,1,1,110520,0
2021,15565779,627,Mexico,Female,30,6,1,1,0,188258,0
2022,15795519,716,Mexico,Female,18,3,1,0,0,197322,0
2023,15761477,501,Mexico,Male,24,4,2,1,0,80241,0
2024,15731890,601,USA,Male,41,1,1,0,1,172815,0
2025,15633043,545,Canada,Female,39,6,1,0,0,38411,1
2026,15752953,634,USA,Male,45,9,2,0,0,17623,0
2027,15603088,451,Canada,Female,23,9,2,0,1,48022,0
2028,15606613,655,USA,Female,59,7,1,1,0,88958,1
2029,15635939,458,USA,Female,39,9,2,1,0,116343,0
2030,15666043,520,USA,Male,33,4,2,1,1,166103,0
2031,15746190,624,Canada,Female,28,2,2,0,1,104353,0
2032,15591357,765,USA,Male,51,3,1,1,1,115429,0
2033,15658716,667,Mexico,Female,37,5,3,1,0,178106,1
2034,15679909,665,Canada,Male,41,8,2,1,0,132152,0
2035,15634262,709,Mexico,Male,34,4,2,1,1,21521,0
2036,15799825,583,USA,Female,44,8,2,1,1,27432,0
2037,15756875,782,Canada,Male,34,6,1,0,1,42144,0
2038,15678146,668,Canada,Female,24,7,1,0,0,106457,1
2039,15710743,621,USA,Male,47,0,1,1,1,133831,1
2040,15595831,579,Mexico,Female,64,6,1,1,1,164084,0
2041,15626684,547,USA,Female,38,5,1,0,1,159207,0
2042,15709846,840,USA,Female,39,1,1,1,0,84488,0
2043,15635459,667,Mexico,Female,27,3,2,1,0,3675,0
2044,15642544,723,USA,Male,34,5,2,0,1,12092,0
2045,15566494,487,USA,Male,45,2,2,1,0,77476,0
2046,15655238,668,USA,Female,31,9,2,0,0,41292,0
2047,15733429,520,Mexico,Male,34,8,2,1,1,343,0
2048,15814536,549,USA,Male,37,2,2,0,0,47432,0
2049,15771702,567,USA,Female,35,5,2,1,0,127827,0
2050,15723008,720,USA,Female,45,1,2,1,1,35633,1
2051,15797160,492,USA,Female,49,8,1,1,1,182865,1
2052,15792222,712,USA,Female,37,1,2,0,0,169387,0
2053,15644765,689,Mexico,Male,26,4,1,0,1,149074,0
2054,15610686,850,USA,Male,63,8,1,0,0,184107,1
2055,15730868,747,USA,Male,41,5,2,1,1,22750,0
2056,15705991,469,Mexico,Male,38,9,1,0,0,11950,0
2057,15577078,539,Canada,Male,38,6,1,1,1,152880,1
2058,15679550,743,USA,Male,32,9,2,1,0,175253,0
2059,15787655,707,USA,Male,47,3,2,1,0,174303,0
2060,15668081,581,Canada,Female,50,4,2,1,1,80702,0
2061,15747980,737,Canada,Male,38,6,2,1,0,198516,0
2062,15710295,445,Mexico,Female,38,6,2,1,0,175756,0
2063,15724443,703,Mexico,Female,29,3,1,0,1,82824,0
2064,15571305,588,Mexico,Female,35,1,1,1,0,179866,1
2065,15569503,765,USA,Male,44,6,2,1,1,159900,0
2066,15581840,626,USA,Male,33,8,2,1,0,138504,0
2067,15772262,545,Mexico,Male,37,9,1,1,1,127395,0
2068,15767794,744,USA,Male,31,9,1,1,1,58961,0
2069,15629338,658,Canada,Female,31,2,1,1,0,103645,1
2070,15790379,629,Mexico,Male,28,8,1,1,1,119648,0
2071,15750684,719,USA,Female,42,4,1,1,0,28466,1
2072,15697214,686,Canada,Female,36,5,2,1,1,152979,0
2073,15711015,743,USA,Male,36,4,2,1,1,190911,0
2074,15573309,626,Canada,Female,48,2,2,1,1,95795,0
2075,15805303,661,Mexico,Male,44,1,1,1,0,189743,1
2076,15741385,710,Mexico,Male,45,9,1,1,1,188574,0
2077,15780254,654,USA,Male,40,6,1,0,0,183873,1
2078,15744843,569,Canada,Female,34,6,1,0,0,196555,0
2079,15815626,640,USA,Male,63,2,2,1,1,112503,1
2080,15784736,562,USA,Male,45,6,1,1,0,46864,0
2081,15813412,721,USA,Female,55,3,1,1,0,65864,1
2082,15809143,456,Mexico,Male,32,9,1,1,1,125168,0
2083,15617617,811,Canada,Male,39,7,2,1,1,177519,0
2084,15779738,534,USA,Male,24,1,1,1,1,169653,0
2085,15668669,423,USA,Female,36,5,1,1,0,118373,1
2086,15687477,594,Mexico,Male,28,5,1,1,0,16481,0
2087,15578908,725,Canada,Female,32,0,2,1,1,138525,0
2088,15687658,716,USA,Female,52,7,2,1,0,14608,1
2089,15615020,595,Mexico,Female,41,9,2,0,1,81548,0
2090,15608886,679,USA,Female,33,1,2,0,0,69608,0
2091,15602551,667,Canada,Male,39,9,2,1,0,68874,0
2092,15672945,661,USA,Female,37,5,1,1,0,81103,0
2093,15757408,655,Canada,Male,38,3,3,0,1,81054,1
2094,15806132,555,USA,Male,55,4,1,1,1,74150,0
2095,15813022,531,Canada,Male,70,1,2,0,0,99503,0
2096,15673578,611,Mexico,Female,40,7,2,1,0,10109,0
2097,15757916,600,USA,Female,38,9,2,1,1,58856,0
2098,15689168,531,Canada,Male,37,1,2,0,1,84402,0
2099,15769216,601,USA,Female,43,2,1,1,0,49714,1
2100,15593295,548,USA,Male,57,6,1,1,1,133538,0
2101,15804814,759,USA,Male,40,4,2,1,0,124616,0
2102,15778934,678,Canada,Female,49,8,2,0,1,98091,0
2103,15802351,755,Mexico,Female,33,6,2,1,1,42608,0
2104,15630241,594,USA,Male,61,3,1,1,1,192434,0
2105,15719561,768,USA,Male,42,5,3,0,0,60686,0
2106,15615096,492,USA,Female,31,7,2,1,1,49463,0
2107,15659931,637,Mexico,Female,55,1,1,1,0,81432,1
2108,15714586,646,Canada,Female,42,3,1,0,1,22910,0
2109,15634949,593,Mexico,Male,74,5,2,1,1,65532,0
2110,15589224,596,Canada,Male,41,5,2,0,1,141054,0
2111,15795990,722,Mexico,Female,48,10,1,1,1,3473,1
2112,15603216,642,USA,Male,25,7,2,1,0,102084,0
2113,15631201,472,Canada,Female,28,4,2,1,0,1802,0
2114,15686255,738,Mexico,Male,35,6,1,0,0,85185,0
2115,15746594,732,Canada,Male,33,8,1,1,0,119883,0
2116,15718893,404,Mexico,Female,54,4,1,1,0,83716,1
2117,15671609,701,USA,Male,44,7,2,1,0,23426,0
2118,15652540,683,USA,Male,31,2,2,0,1,77327,0
2119,15774857,460,USA,Female,27,7,2,1,0,156150,1
2120,15791836,690,USA,Male,29,5,2,1,0,108578,0
2121,15651554,618,Mexico,Female,54,4,1,1,1,133573,1
2122,15583576,671,USA,Male,30,2,1,0,1,102058,0
2123,15732740,765,Canada,Female,32,9,1,0,0,47248,0
2124,15723320,651,Mexico,Female,25,2,2,1,0,114566,0
2125,15603851,704,USA,Male,32,7,4,0,0,184465,1
2126,15777923,544,USA,Female,45,6,2,0,1,151401,0
2127,15735719,790,USA,Female,40,9,2,1,1,70607,0
2128,15703482,710,Mexico,Male,34,9,2,1,0,147075,0
2129,15605835,743,USA,Male,37,8,2,0,1,105780,0
2130,15664881,702,USA,Male,34,4,1,1,0,109496,0
2131,15757568,704,USA,Female,45,6,1,1,1,137739,0
2132,15792660,614,USA,Male,38,2,1,1,0,105141,0
2133,15599722,609,Canada,Female,43,6,2,1,1,113276,1
2134,15726354,688,USA,Female,32,6,1,1,0,172531,0
2135,15610355,713,USA,Male,44,1,1,1,0,64375,0
2136,15704284,736,Mexico,Male,57,9,1,1,0,28434,1
2137,15621893,727,USA,Male,18,4,1,1,1,46941,0
2138,15588219,850,USA,Female,38,1,2,1,0,29333,0
2139,15688619,718,Canada,Male,45,3,2,1,1,193725,0
2140,15765518,643,USA,Female,51,2,1,1,0,34968,1
2141,15616931,653,USA,Male,41,8,1,1,0,55664,0
2142,15758372,674,USA,Male,18,7,2,1,1,55753,1
2143,15782591,690,USA,Male,35,6,1,1,0,176962,0
2144,15612109,819,USA,Male,38,9,2,1,1,181507,0
2145,15613712,634,Canada,Male,34,1,2,1,0,61996,0
2146,15639322,633,Canada,Male,33,4,2,1,0,98349,0
2147,15594349,850,USA,Male,49,5,1,0,1,59748,0
2148,15574167,665,USA,Male,33,2,1,1,1,159841,0
2149,15811842,630,Canada,Male,26,7,2,1,1,6657,0
2150,15648794,836,Canada,Male,57,4,1,1,0,37142,1
2151,15771211,668,USA,Male,38,10,1,0,1,37095,0
2152,15588614,753,USA,Male,57,7,1,1,0,159475,1
2153,15630698,745,USA,Female,55,9,1,0,1,51548,1
2154,15694200,693,USA,Male,36,8,1,0,0,58720,1
2155,15721426,606,Mexico,Male,65,10,3,0,0,7862,1
2156,15725997,660,USA,Female,35,6,1,1,0,19200,0
2157,15762138,608,USA,Male,42,5,2,1,0,178504,0
2158,15750649,744,USA,Female,44,3,2,1,1,189016,0
2159,15685706,731,USA,Female,40,7,1,1,1,156049,0
2160,15641835,683,USA,Male,72,3,1,0,1,52876,0
2161,15586821,727,USA,Male,28,5,2,0,1,19653,0
2162,15569678,561,Mexico,Male,32,6,1,1,0,139452,0
2163,15793842,700,USA,Female,34,2,1,1,0,128136,0
2164,15667554,605,USA,Male,35,6,2,1,1,45207,0
2165,15794479,767,Canada,Male,77,8,1,1,1,190147,0
2166,15585041,511,USA,Male,33,7,2,0,1,158314,0
2167,15780650,667,USA,Male,40,9,1,1,1,96670,0
2168,15780846,787,USA,Male,33,1,2,0,1,62164,0
2169,15805260,705,Mexico,Female,56,2,1,1,0,88428,1
2170,15621629,773,Mexico,Male,43,8,2,1,1,35908,0
2171,15662151,554,USA,Male,40,4,1,0,1,168780,0
2172,15747174,526,Mexico,Male,58,9,2,1,1,191264,0
2173,15651585,661,Mexico,Male,35,2,1,1,1,83052,0
2174,15649738,698,USA,Female,46,0,2,1,1,125962,0
2175,15633108,646,USA,Male,26,4,1,1,0,164696,0
2176,15769254,757,Mexico,Female,34,9,2,0,0,187012,0
2177,15704746,699,Canada,Male,35,2,2,1,1,55324,0
2178,15637644,667,USA,Female,24,4,2,0,1,34336,0
2179,15609562,774,Canada,Female,43,1,1,1,0,17004,0
2180,15787459,745,Canada,Male,40,3,1,0,0,116331,0
2181,15762902,649,USA,Female,42,7,2,0,1,22974,0
2182,15738605,634,Mexico,Female,46,5,1,1,1,49725,1
2183,15724889,665,Canada,Male,38,9,1,0,1,87413,0
2184,15730735,713,USA,Male,38,9,2,1,1,26137,0
2185,15689147,652,USA,Female,40,1,2,1,0,126555,0
2186,15730397,739,Canada,Male,40,1,1,1,1,193321,0
2187,15762169,556,Mexico,Male,37,9,2,1,0,90928,1
2188,15589320,699,Canada,Male,34,8,1,1,1,76510,0
2189,15799211,708,Canada,Female,32,8,1,1,1,120116,0
2190,15798310,480,USA,Male,35,2,1,1,1,197985,0
2191,15609998,700,Mexico,Female,59,5,1,1,0,142977,1
2192,15583548,525,Canada,Female,47,6,1,1,0,82523,1
2193,15761763,845,USA,Male,33,8,1,1,0,150665,0
2194,15764409,613,USA,Male,37,9,1,1,1,114153,0
2195,15710161,850,USA,Female,34,2,2,1,1,171707,0
2196,15735246,798,Canada,Female,58,9,2,0,0,119072,1
2197,15791700,773,Mexico,Male,47,2,4,1,1,143007,1
2198,15670753,614,Canada,Male,35,2,1,1,1,31302,0
2199,15573876,473,Canada,Male,48,8,2,1,0,71140,0
2200,15770174,762,USA,Male,29,6,1,1,0,54123,0
2201,15641114,701,USA,Male,37,8,1,1,1,120031,0
2202,15682435,600,USA,Male,35,4,2,1,0,104077,0
2203,15751788,850,Canada,Male,28,9,1,1,1,175854,0
2204,15672598,613,Canada,Male,30,9,1,1,1,175796,0
2205,15762803,509,USA,Male,31,3,2,1,0,15361,0
2206,15812982,509,Canada,Male,38,2,1,0,0,168460,0
2207,15597901,609,USA,Male,34,1,1,1,1,181178,0
2208,15731507,456,USA,Female,33,1,1,0,0,58364,0
2209,15809826,728,USA,Female,46,2,1,1,0,20277,1
2210,15764237,663,Canada,Male,33,9,2,0,0,91515,0
2211,15769917,673,Mexico,Female,34,1,3,0,1,76703,0
2212,15641850,717,USA,Male,40,0,1,1,0,110887,0
2213,15770974,741,Mexico,Female,37,8,2,0,0,109843,0
2214,15803749,498,Mexico,Female,41,4,2,1,1,12577,1
2215,15684999,850,USA,Female,26,4,2,0,1,179365,0
2216,15770225,493,USA,Male,36,9,2,1,1,65817,0
2217,15627484,686,USA,Female,47,5,1,1,0,124171,0
2218,15610337,666,Canada,Male,35,2,1,1,0,175015,0
2219,15752488,733,Canada,Female,31,9,1,1,1,115442,0
2220,15610056,631,Mexico,Female,34,6,2,0,1,128247,0
2221,15806049,714,Mexico,Female,49,5,1,1,0,141915,0
2222,15736069,767,Mexico,Female,35,6,1,1,0,115567,1
2223,15763662,711,Mexico,Male,43,2,2,1,1,175424,0
2224,15615575,722,USA,Male,34,8,2,1,1,133447,0
2225,15691723,631,Canada,Male,55,9,1,1,0,114475,0
2226,15774098,701,Mexico,Male,38,3,2,0,1,52045,0
2227,15750808,790,Canada,Male,46,2,2,1,1,180291,0
2228,15744368,633,Canada,Male,58,6,1,1,1,132034,0
2229,15610594,644,USA,Female,37,8,2,1,0,20969,0
2230,15756125,757,Canada,Male,44,5,2,1,0,158735,0
2231,15623277,696,USA,Female,30,8,2,1,1,196134,0
2232,15795954,746,USA,Male,35,2,1,1,0,22375,0
2233,15671969,649,Canada,Male,36,8,2,1,0,161668,0
2234,15791268,565,Canada,Male,38,0,1,0,0,67339,0
2235,15713655,720,USA,Female,38,10,2,1,1,56230,1
2236,15633930,648,Canada,Female,56,6,2,1,0,140991,1
2237,15712849,632,Mexico,Male,41,3,1,0,0,177645,1
2238,15639077,622,USA,Female,30,2,3,1,0,142343,1
2239,15808784,835,USA,Male,28,2,2,1,1,154559,0
2240,15648577,493,USA,Female,31,3,1,1,1,176570,1
2241,15670345,785,Mexico,Female,33,6,1,0,0,191962,0
2242,15633112,681,Mexico,Male,42,3,2,1,0,9453,1
2243,15714397,621,Mexico,Female,30,2,2,1,1,165257,0
2244,15780038,756,Canada,Male,38,6,1,1,0,169764,1
2245,15756305,515,USA,Female,66,6,2,1,1,160663,0
2246,15578799,625,USA,Female,58,10,1,1,1,192072,1
2247,15800326,717,Canada,Female,39,6,2,1,0,93276,0
2248,15785485,595,Mexico,Female,41,2,1,0,1,112270,0
2249,15783958,539,Canada,Female,37,1,2,0,0,2187,0
2250,15727546,762,USA,Male,35,9,2,1,1,43076,0
2251,15739576,706,Canada,Male,20,8,2,1,1,12368,0
2252,15631333,677,Canada,Female,25,8,1,1,0,42410,0
2253,15604782,733,Mexico,Female,33,7,1,0,1,190431,0
2254,15589643,684,Canada,Female,41,7,1,1,1,138394,0
2255,15585533,679,USA,Male,36,6,1,0,1,172501,0
2256,15681506,478,Canada,Male,43,1,2,1,1,197916,0
2257,15630551,696,USA,Male,33,2,1,1,1,7035,0
2258,15698349,686,Canada,Female,35,4,2,1,1,159677,0
2259,15776631,466,USA,Female,36,5,1,0,1,80604,0
2260,15762216,686,USA,Female,41,4,2,1,0,187600,0
2261,15623927,576,USA,Male,55,9,2,1,1,94451,0
2262,15681402,763,Mexico,Female,61,1,1,1,1,143981,0
2263,15586264,572,USA,Male,43,2,1,1,0,26451,1
2264,15594685,757,USA,Female,49,2,2,0,0,164483,0
2265,15812945,582,USA,Female,29,0,1,1,1,84013,0
2266,15734628,623,USA,Female,35,5,2,1,0,101192,0
2267,15629323,617,Mexico,Female,37,4,2,1,0,175325,1
2268,15666823,425,USA,Male,39,4,2,1,0,197226,0
2269,15777553,659,USA,Female,56,9,1,1,0,99504,1
2270,15613097,605,USA,Female,33,4,2,0,1,83701,0
2271,15622217,538,USA,Female,38,8,2,0,0,28226,1
2272,15703588,665,Mexico,Male,25,5,2,1,0,35322,0
2273,15570835,491,Mexico,Female,57,4,1,1,1,41230,1
2274,15679299,726,Canada,Female,27,7,1,0,1,78971,0
2275,15808044,580,USA,Female,65,9,3,1,0,107891,1
2276,15579208,550,USA,Female,48,6,2,1,1,191870,0
2277,15684951,542,USA,Female,59,2,2,1,0,7905,1
2278,15667620,732,USA,Female,43,6,2,1,0,65732,0
2279,15582960,473,USA,Female,33,5,1,0,1,145699,0
2280,15590730,745,Canada,Male,34,9,2,1,0,50046,0
2281,15763747,732,USA,Male,36,7,2,1,1,60830,0
2282,15778320,848,Mexico,Female,40,5,1,0,0,158854,0
2283,15642787,572,USA,Male,37,1,1,0,0,111243,0
2284,15624633,702,USA,Male,45,9,1,1,1,171015,0
2285,15766765,664,Mexico,Male,39,7,1,1,0,170835,0
2286,15783615,630,Mexico,Male,50,3,4,1,1,47775,1
2287,15640161,618,Mexico,Male,44,5,2,0,0,139298,0
2288,15619889,556,USA,Male,26,4,1,1,0,195167,0
2289,15579166,619,USA,Female,30,7,1,1,1,160949,0
2290,15789097,644,USA,Male,48,8,2,0,1,44966,1
2291,15674880,658,Canada,Male,50,2,2,1,0,52138,0
2292,15778157,598,Canada,Male,27,8,2,1,0,109296,0
2293,15779064,677,USA,Male,27,2,2,1,1,20093,0
2294,15801265,689,Canada,Female,45,0,1,1,0,197804,1
2295,15589204,591,USA,Male,33,9,1,1,0,118782,0
2296,15664543,699,USA,Male,40,7,1,0,1,152876,1
2297,15582714,749,Mexico,Male,47,9,1,0,1,135655,1
2298,15797595,709,USA,Female,40,9,1,1,1,103971,0
2299,15614034,607,Mexico,Male,61,2,2,1,1,35787,0
2300,15763171,650,Mexico,Female,25,2,1,1,1,25325,0
2301,15647266,651,Canada,Female,45,10,1,1,0,18733,0
2302,15757577,676,USA,Female,61,8,2,1,1,118523,0
2303,15736656,723,USA,Female,49,4,2,0,1,89972,0
2304,15635078,714,Canada,Male,45,0,1,0,1,187194,0
2305,15680141,759,Canada,Female,35,7,1,1,1,106786,0
2306,15576945,582,USA,Male,29,0,1,1,0,142516,0
2307,15602034,697,USA,Female,34,2,1,1,0,73334,0
2308,15732020,610,Mexico,Male,57,6,2,0,1,186612,0
2309,15611029,488,Mexico,Female,33,4,1,1,0,123614,0
2310,15621210,599,Mexico,Male,46,9,1,1,1,31368,1
2311,15569222,781,USA,Male,32,6,1,1,1,40067,0
2312,15664639,645,USA,Male,19,9,1,0,0,175969,0
2313,15724223,545,USA,Female,55,5,1,0,0,10035,1
2314,15644621,597,Mexico,Female,40,9,2,1,0,151168,0
2315,15756056,561,Canada,Female,28,3,2,1,0,191388,0
2316,15700353,662,USA,Female,37,6,2,1,0,51229,0
2317,15624388,649,Mexico,Female,50,5,1,1,1,87351,1
2318,15627212,630,USA,Female,36,2,1,1,1,48985,0
2319,15648005,672,Canada,Male,33,2,2,1,1,182738,0
2320,15681446,636,Mexico,Female,37,9,1,1,1,153535,0
2321,15775888,593,Mexico,Female,38,5,1,1,1,125080,0
2322,15749019,545,Mexico,Male,45,6,2,1,1,162321,0
2323,15709928,567,Canada,Female,41,1,2,1,0,3415,0
